hub,BRS,risk_tier,avg_delay,sla_breach_rate,total_load,bc_unweighted,bc_weighted,degree_centrality,in_degree,out_degree,closeness,clustering,pagerank,pagerank_weighted,delay_norm,bc_norm,load_norm,sla_norm,sla_trips
IND521165AAA,0.20752648008160846,Critical,5.722482517482518,1.0,12.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.16419826734169818,0.0,0.00028543256007057966,1.0,12
IND181201AAB,0.20716015247310854,Critical,5.668952580150896,1.0,45.0,0.0,0.0,0.0012077294685990338,1,1,0.0006038647342995169,0.0,0.0003810037951618245,0.00046705045215605066,0.16266230407157733,0.0,0.0011417302402823187,1.0,45
IND751002AAB,0.2066519167716539,Critical,2.2398765821790305,0.9904697072838666,3993.0,0.005091918312724838,0.005190317731365938,0.006642512077294686,5,6,0.11052355072463768,0.21153846153846154,0.001569348381547423,0.0014396963468562465,0.06426998295397855,0.04956584155655906,0.10358607089106855,0.9904697072838666,3954
IND700028AAB,0.2051766950671455,Critical,5.459048691246833,1.0,69.0,0.0,0.0,0.0012077294685990338,1,1,0.09056832891939717,0.0,0.00037391174726451024,0.0004566113526007445,0.15663941894068592,0.0,0.00176449218952722,1.0,69
IND370615AAB,0.20514327459735224,Critical,5.47897505574136,1.0,24.0,0.0,0.0,0.0006038647342995169,1,0,0.0008051529790660224,0.0,0.0003810037951618245,0.00034195943207473,0.15721117682975325,0.0,0.0005968135346930303,1.0,24
IND713205AAB,0.203064939411991,Critical,3.2643784777413796,0.9822485207100592,468.0,0.007162820905760614,0.007162820905760614,0.006038647342995169,5,5,0.09131662136433848,0.03409090909090909,0.0024595859572016407,0.0026174328163217735,0.09366656662648377,0.06840260355689357,0.012117909595723701,0.9822485207100592,459
IND600004AAA,0.2030058590243162,Critical,5.275961538461539,1.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.15138600083621342,0.0,0.00010379365820748353,1.0,5
IND530012AAA,0.2029296083376875,Critical,2.1021544173190394,0.9943741209563994,1391.0,0.008633502147885455,0.008882831997898332,0.010869565217391304,8,10,0.0917207889831018,0.026845637583892617,0.003062493109716694,0.0028924441103724274,0.060318246836747615,0.08482814851981936,0.036068296227100526,0.9943741209563994,1383
IND208006AAA,0.20292313264375267,High,5.244469916717126,1.0,50.0,0.0,0.0,0.0006038647342995169,1,0,0.08387138838922281,0.0,0.0005343853042745383,0.0005169462182869302,0.15048239480326958,0.0,0.0012714723130416731,1.0,50
IND854326AAB,0.2028552884392122,High,2.0566361649034213,0.9857549857549858,1447.0,0.009366288658289184,0.009366288658289184,0.004830917874396135,3,5,0.08254186013789222,0.03571428571428571,0.001538042669591612,0.001513755671874416,0.05901216714908881,0.0894450019512739,0.03752140744200529,0.9857549857549858,1426
IND781124AAA,0.20255542537553992,High,5.133730530518659,1.0,46.0,0.0002670870003064933,0.0002670870003064933,0.0012077294685990338,1,1,0.0006038647342995169,0.0,0.0003157072717394195,0.0003185237513780839,0.14730489006040307,0.002550593744773373,0.0011676786548341896,1.0,46
IND201301AAD,0.20208976789959085,High,5.17957468280049,1.0,15.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.14862032096813035,0.0,0.00036327780372619233,1.0,15
IND733129AAA,0.20122773311928716,High,5.080711294569384,1.0,39.0,2.189237707430273e-06,2.189237707430273e-06,0.0012077294685990338,1,1,0.0006038647342995169,0.0,0.0003157072717394195,0.0003185237513780839,0.14578358061960436,2.0906506104699785e-05,0.0009860397529710934,1.0,39
IND796321AAB,0.20081424669187728,High,5.04894805819883,1.0,22.0,0.0,0.0,0.0006038647342995169,1,0,0.0006038647342995169,0.0,0.0003157072717394195,0.0003185237513780839,0.14487218100216978,0.0,0.0005449167055892885,1.0,22
IND580002AAA,0.20013420917966057,High,4.979166666666666,1.0,26.0,0.0,0.0,0.0006038647342995169,1,0,0.07970898671179075,0.0,0.0005429044799203698,0.0007838880529944362,0.1428699060197178,0.0,0.000648710363796772,1.0,26
IND700136AAB,0.20011489314357603,High,4.988095238095238,1.0,5.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.14312609831981296,0.0,0.00010379365820748353,1.0,5
IND302020AAA,0.19993129730875425,High,4.934157363104732,1.0,74.0,0.0,0.0,0.0012077294685990338,1,1,0.0026856089499110096,0.0,0.00040096662344827824,0.0004045691608753235,0.14157842987513408,0.0,0.0018942342622865743,1.0,74
IND700065AAA,0.19953160784137672,High,4.874721638679742,1.0,112.0,0.0,0.0,0.0012077294685990338,1,1,0.09056832891939717,0.0,0.00037391174726451024,0.0004737159357089801,0.13987300868092914,0.0,0.002880274015257668,1.0,112
IND700136AAG,0.1993158108868351,High,4.885272883188363,1.0,50.0,0.0,0.0,0.0006038647342995169,0,1,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.14017576121207645,0.0,0.0012714723130416731,1.0,50
IND506314AAA,0.19891575471875175,High,4.6038452483009,1.0,77.0,0.0007979771443583345,0.0007979771443583345,0.0012077294685990338,1,1,0.05099517874098939,0.0,0.00101954817168164,0.0008505240182312949,0.13210060678575544,0.007620421475163071,0.001972079505942187,1.0,77
IND411033AAB,0.1988189836666119,High,4.86060606060606,1.0,2.0,0.0,0.0,0.0,0,0,0.0,0.0,0.00017063115510533762,0.00017215402019763105,0.13946798281057582,0.0,2.594841455187088e-05,1.0,2
IND274301AAB,0.19840568206483047,High,4.7120421660050145,1.0,61.0,0.00026964111096516196,0.00026964111096516196,0.0012077294685990338,1,1,0.0006038647342995169,0.0,0.0003157072717394195,0.0003185237513780839,0.13520515911325537,0.0025749846685621898,0.0015569048731122529,1.0,61
