source_center,destination_center,time_bucket,avg_distance_km,avg_osrm_time,hub_congestion,congestion_tier,distance_tier,is_chronic_bottleneck,total_volume,delay_ratio_ftl,delay_risk_tier_ftl,delay_ratio_carting,delay_risk_tier_carting,ftl_distance_cost,carting_distance_cost,ftl_actual_time,carting_actual_time,ftl_delay_cost,carting_delay_cost,ftl_total_cost,carting_total_cost,time_diff_hr,cost_diff,recommended_route_type,rule_applied
IND441206AAB,IND442605AAA,eve_peak,36.72889166666667,26.5,104.0,Low,Medium,0,12,1.8518518518518519,Medium,2.2448051948051946,High,4528.408966666667,1652.8001250000002,49.074074074074076,59.48733766233766,0.09405864197530865,0.13744724025974026,4528.5030253086425,1652.93757224026,0.002892573218962106,-2875.5654530683823,Carting,Rule 6: Lower total cost (Carting)
IND441206AAB,IND442605AAA,night,36.092889655172414,25.93103448275862,104.0,Low,Medium,0,29,1.8518518518518519,Medium,2.325,High,4510.600910344828,1624.1800344827586,48.020434227330774,60.289655172413795,0.09203916560238398,0.14316091954022991,4510.6929495104305,1624.3231954022988,0.003408116929189728,-2886.369754108132,Carting,Rule 6: Lower total cost (Carting)
IND441614AAA,IND481001AAA,eve_peak,31.535211111111114,21.77777777777778,36.0,Low,Medium,0,18,2.1875,High,2.037037037037037,Medium,4382.985911111111,1419.0845000000002,47.63888888888889,44.36213991769548,0.10775462962962964,0.09410150891632375,4383.09366574074,1419.1786015089165,-0.0009102080475537258,-2963.9150642318236,Carting,Rule 6: Lower total cost (Carting)
IND441904AAB,IND441912AAA,night,21.086541666666665,19.166666666666668,182.0,Low,Short,0,36,1.8518518518518519,Medium,1.6214285714285714,High,4090.4231666666665,948.894375,35.49382716049383,31.077380952380956,0.06802983539094651,0.0496279761904762,4090.4911965020574,948.9440029761904,-0.0012267906133646871,-3141.547193525867,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
IND441912AAA,IND441107AAB,night,63.60564636363637,45.845454545454544,256.0,Medium,Long,0,110,1.8518518518518519,Medium,3.0675,High,5280.958098181818,2862.2540863636364,84.8989898989899,140.6309318181818,0.16272306397306396,0.39493948863636363,5281.120821245791,2862.6490258522726,0.015481094977553308,-2418.4717953935187,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND442001AAA,IND442101AAB,night,17.82036,13.6,45.0,Low,Short,0,5,3.7142857142857144,High,2.037037037037037,Medium,3998.97008,801.9162,50.51428571428571,27.703703703703706,0.15380952380952378,0.05876543209876544,3999.12388952381,801.9749654320988,-0.006336272780717224,-3197.148924091711,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
IND442101AAB,IND445001AAB,night,42.522285714285715,30.457142857142856,75.0,Low,Medium,0,35,2.1666666666666665,High,2.037037037037037,Medium,4690.624,1913.5028571428572,65.99047619047619,62.042328042328045,0.14805555555555555,0.13160493827160497,4690.772055555555,1913.6344620811287,-0.0010967078189300396,-2777.1375934744265,Carting,Rule 6: Lower total cost (Carting)
IND442605AAA,IND441603AAA,night,22.678883333333335,16.0,76.0,Low,Short,0,6,1.8518518518518519,Medium,1.71875,High,4135.008733333333,1020.5497500000001,29.62962962962963,27.5,0.05679012345679012,0.04791666666666667,4135.06552345679,1020.5976666666668,-0.0005915637860082305,-3114.4678567901237,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
IND444005AAB,IND000000AAZ,eve_peak,76.58714,54.2,969.0,Medium,Long,0,5,3.8275862068965516,High,2.037037037037037,Medium,5644.439920000001,3446.4213000000004,207.45517241379312,110.40740740740742,0.6385632183908045,0.23419753086419756,5645.078483218392,3446.6554975308645,-0.026957712501773805,-2198.422985687527,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND444005AAB,IND421302AAG,eve_peak,286.37438620689653,203.3209549071618,15430.0,High,Long,0,377,2.010204081632653,High,2.037037037037037,Medium,11518.482813793104,12886.847379310344,408.7166134358252,414.1723155516259,0.8558152438694309,0.8785473360186005,11519.338629036973,12887.725926646362,0.0015154728099446401,1368.3872976093899,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND444005AAB,IND421302AAG,night,285.97225476190476,202.97619047619048,15430.0,High,Long,0,42,1.9560227135435544,High,2.037037037037037,Medium,11507.223133333333,12868.751464285715,397.02603887997145,413.47001763668436,0.808541035015754,0.8770576131687245,11508.031674368349,12869.628521898883,0.004567771876864697,1361.5968475305344,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND444005AAB,IND443301AAA,eve_peak,71.607645,50.8,981.0,Medium,Long,0,20,2.177522349936143,High,2.037037037037037,Medium,5505.01406,3222.3440250000003,110.61813537675606,103.48148148148148,0.24924223073648358,0.2195061728395062,5505.263302230737,3222.5635311728397,-0.0019824038597984935,-2282.6997710578976,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND444203AAA,IND444005AAB,eve_peak,38.35288,30.2,972.0,Medium,Medium,0,10,2.3181818181818183,High,2.037037037037037,Medium,4573.880639999999,1725.8796,70.00909090909092,61.51851851851852,0.16587121212121214,0.13049382716049382,4574.046511212121,1726.0100938271605,-0.0023584923307145545,-2848.0364173849603,Carting,Rule 6: Lower total cost (Carting)
IND444602AAA,IND444005AAB,eve_peak,60.97191,45.3875,1041.0,Medium,Long,0,80,2.1952380952380954,High,2.037037037037037,Medium,5207.21348,2743.7359500000002,99.63636904761907,92.45601851851853,0.22603695436507945,0.1961188271604939,5207.439516954365,2743.932068827161,-0.001994541813639038,-2463.507448127204,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND450331AAA,IND452001AAC,morn_peak,52.53441162790698,41.604651162790695,325.0,Medium,Medium,0,43,1.8518518518518519,Medium,2.1470588235294117,High,4970.9635255813955,2364.048523255814,77.04565030146425,89.32763337893296,0.14767082974447315,0.19884575923392608,4971.11119641114,2364.2473690150478,0.0034116619659635304,-2606.863827396092,Carting,Rule 6: Lower total cost (Carting)
IND450331AAA,IND452001AAC,night,54.80038888888889,43.5,325.0,Medium,Long,0,72,1.8518518518518519,Medium,2.040620782726046,High,5034.410888888889,2466.0175,80.55555555555556,88.76700404858299,0.15439814814814817,0.1886125168690958,5034.565287037037,2466.206112516869,0.0022809579147298423,-2568.359174520168,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND451666AAA,IND421302AAG,morn_peak,211.87947741935483,149.96774193548387,14544.0,High,Long,0,31,2.3675213675213675,High,2.037037037037037,Medium,9432.625367741935,9534.576483870967,355.05183347118833,305.4898446833931,0.8545170480654353,0.6480087614496217,9433.47988479,9535.224492632417,-0.013767219107720906,101.74460784241637,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND451666AAA,IND424006AAA,morn_peak,73.5600425,51.575,346.0,Medium,Long,0,40,2.2865141187925997,High,2.037037037037037,Medium,5559.681189999999,3310.2019124999997,117.92696567672833,105.0601851851852,0.27646652365303465,0.22285493827160502,5559.957656523652,3310.4247674382714,-0.0035741056920953126,-2249.5328890853807,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND452001AAC,IND425201AAA,morn_peak,18.39162,12.9,223.0,Low,Short,0,10,1.8518518518518519,Medium,2.6875,High,4014.96536,827.6229,23.88888888888889,34.66875,0.045787037037037036,0.09070312500000001,4015.011147037037,827.713603125,0.0029944058641975316,-3187.2975439120373,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
IND452001AAC,IND425201AAA,night,19.081106666666667,13.2,223.0,Low,Short,0,15,1.8518518518518519,Medium,2.6666666666666665,High,4034.2709866666664,858.6498,24.444444444444443,35.199999999999996,0.046851851851851846,0.09166666666666665,4034.3178385185183,858.7414666666667,0.0029876543209876537,-3175.5763718518515,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
