source_center,destination_center,trip_count,weight,pct_sla_breach,median_actual_time,median_osrm_time,delay_iqr,avg_distance,is_chronic,delay_severity_norm,volume_norm,sla_breach_corr_norm,variability_norm,corridor_risk_score
IND852201AAA,IND852113AAA,17,3.75,1.0,60.0,17.0,0.9411764705882351,22.42475294117647,1,0.5107616088771276,0.001409585179218687,1.0,0.16620666558611363,0.47127770640426714
IND311301AAA,IND305624AAA,12,3.2729885057471266,1.0,77.5,24.0,2.32218413681262,35.782266666666665,1,0.4380350246908353,0.0004027386226339106,1.0,0.4100851373976302,0.46632320827175566
IND841424AAA,IND841428AAA,24,3.5973084886128364,1.0,187.5,48.0,1.1325766862809203,65.036975,1,0.48748180914227274,0.002819170358437374,1.0,0.2000069067065293,0.46569820691717134
IND211011AAA,IND212501AAA,38,3.4285714285714284,1.0,66.0,20.0,1.6169193363844396,23.609718421052634,1,0.4617556575708738,0.005638340716874748,1.0,0.285539194636055,0.46466576767117374
IND812002AAA,IND813203AAA,36,3.5652173913043477,1.0,83.5,23.0,1.1157479296066253,31.175316666666667,1,0.4825891054691846,0.005235602094240838,1.0,0.197035039452935,0.46404804665652755
IND210001AAA,IND210427AAA,30,3.661458333333333,1.0,120.5,33.0,0.7571699134199137,41.99498666666667,1,0.4972622843274882,0.004027386226339106,1.0,0.13371210450362836,0.4632829707379429
IND421601AAB,IND421302AAG,61,3.25,1.0,62.0,22.0,2.088235294117647,30.468195081967213,1,0.43453012906739946,0.01026983487716472,1.0,0.3687710392691897,0.46325661427316994
IND811399AAA,IND110044AAB,76,2.8395833333333336,0.9736842105263158,44.0,15.0,3.761904761904762,13.342543421052632,1,0.3719567893902476,0.013290374546919049,0.9736842105263158,0.6643319996492578,0.4619595619893336
IND400612AAA,IND421302AAR,12,2.700757575757576,1.0,31.0,12.0,4.041666666666666,14.455791666666668,1,0.3507910035188345,0.0004027386226339106,1.0,0.7137364363320349,0.4617907296963958
IND110020AAB,IND110037AAM,11,2.739130434782609,1.0,63.0,23.0,3.9001959207459174,23.3702,1,0.3566414431748512,0.0002013693113169553,1.0,0.6887534690647252,0.4615822665042422
IND481661AAA,IND842003AAB,32,3.2353846153846155,1.0,192.0,66.0,2.028272222321444,77.00393125,1,0.43230182427296127,0.004430124848973017,1.0,0.35818188565879533,0.4598464494873073
IND700028AAB,IND712311AAA,19,2.9411764705882355,1.0,47.0,17.0,3.020833333333334,17.73703684210526,1,0.38744597977315565,0.0018123238018525976,1.0,0.5334628003512634,0.4587777528948518
IND635601AAB,IND635802AAB,49,3.1666666666666665,0.9387755102040817,67.0,25.0,2.9686486486486485,28.4498306122449,1,0.42182488243244476,0.007853403141361256,0.9387755102040817,0.5242472677629025,0.4578119080856289
IND506314AAA,IND506002AAA,29,3.217391304347826,1.0,71.0,23.0,1.9267734553775742,30.79085172413793,1,0.429558510818939,0.0038260169150221507,1.0,0.340257753318025,0.45680568388813364
IND221313AAA,IND276128AAA,10,2.6593406593406597,1.0,175.5,73.5,3.901867307692303,78.44246000000001,1,0.34447645786359976,0.0,1.0,0.689048626944192,0.4566954458398591
IND560300AAA,IND560078AAC,64,3.395121951219512,1.0,89.5,26.5,1.1795193687230991,25.903584375,1,0.45665585125607666,0.010873942811115585,1.0,0.20829673009906052,0.45621049921511564
IND712311AAA,IND700065AAA,58,3.301948051948052,1.0,63.0,18.5,1.4190340909090908,17.409810344827587,1,0.4424502828138647,0.009665726943213854,1.0,0.250593732390711,0.45445591810042046
IND400102AAC,IND421302AAG,81,2.933333333333333,1.0,59.0,21.0,2.625,25.098423456790123,1,0.3862501918545716,0.014297221103503826,1.0,0.4635607782362701,0.4544304598413316
IND508207AAB,IND507002AAA,20,3.178571428571429,1.0,138.5,47.5,1.9045385421072774,59.822860000000006,1,0.4236399176660098,0.002013693113169553,1.0,0.33633118809913176,0.45359250915460947
IND302006AAA,IND302014AAB,26,3.0,1.0,34.0,11.0,2.5030080213903747,12.809084615384617,1,0.3964143891625354,0.003221908981071285,1.0,0.4420176557437519,0.45357299848465715
IND431112AAB,IND431136AAC,88,3.3938216796152423,1.0,124.0,35.0,0.955096430464077,45.240305681818185,1,0.45645760799898055,0.015706806282722512,1.0,0.1686648550844233,0.45337623027871515
IND000000ABG,IND501359AAF,41,2.3333333333333335,0.975609756097561,45.0,21.0,5.064163157894731,24.41517317073171,1,0.2947724160828979,0.006242448650825614,0.975609756097561,0.8943037769863348,0.45280239531888933
IND842001AAA,IND843301AAA,18,3.4456521739130435,1.0,146.0,46.0,0.8963665330455344,57.03039444444445,1,0.46435983855816265,0.0016109544905356424,1.0,0.15829347338801344,0.45197602138470033
IND110037AAM,IND110020AAB,26,3.217391304347826,1.0,64.0,23.5,1.661818181818182,21.85401153846154,1,0.429558510818939,0.003221908981071285,1.0,0.29346808748602665,0.4519756903214461
IND712311AAA,IND700028AAB,46,3.1146616541353387,1.0,47.0,15.5,1.9518016855865152,16.28861304347826,1,0.4138960443068716,0.00724929520741039,1.0,0.3446776031746091,0.45183850184206215
IND273304AAA,IND273014AAB,100,3.3868131868131868,0.95,130.5,41.5,1.5577231820658985,54.776697000000006,1,0.45538907244390747,0.018123238018525976,0.95,0.2750854744971989,0.4516949859319144
IND713205AAB,IND712311AAA,83,2.588235294117647,1.0,159.0,70.0,3.650700280112045,94.87026746987952,1,0.3336355234368769,0.014699959726137737,1.0,0.6446938906499463,0.45159858837127986
IND400015AAB,IND421302AAG,88,2.921212121212121,1.0,61.0,22.5,2.4772727272727266,30.164411363636365,1,0.38440215598039634,0.015706806282722512,1.0,0.43747294223163147,0.4514348581860023
IND110085AAB,IND000000ACB,49,2.85,1.0,120.0,41.0,2.8076923076923075,43.85456326530612,1,0.37354494521961695,0.007853403141361256,1.0,0.49582324998165156,0.4509636538713523
IND421302AAR,IND421004AAA,53,3.272727272727273,1.0,34.0,10.0,1.2727272727272725,13.28754150943396,1,0.43799519633147804,0.008658880386629078,1.0,0.22475674096304002,0.44983847272555255
IND462042AAA,IND462022AAA,34,2.8846153846153846,1.0,54.5,14.5,2.6454545454545455,15.424376470588236,1,0.3788225092064443,0.004832863471606927,1.0,0.4671729401446047,0.44945451356493993
IND224001AAA,IND224141AAB,48,3.2967032967032965,1.0,61.0,17.5,1.1755698005698014,24.37771041666667,1,0.44165065190676966,0.0076520338300443014,1.0,0.20759925776121677,0.44933319499634067
IND580028AAA,IND580002AAA,16,3.4285714285714284,1.0,72.0,21.0,0.7738095238095237,26.37889375,1,0.4617556575708738,0.0012082158679017317,1.0,0.13665056954810684,0.4486693739501356
IND391110AAD,IND390020AAA,16,3.2142857142857144,1.0,86.0,25.5,1.4708970465018854,26.0558625,1,0.4290850233667046,0.0012082158679017317,1.0,0.25975244936451247,0.44791130825010855
IND302004AAA,IND302014AAB,15,2.642857142857143,1.0,37.0,15.0,3.432738095238095,15.984773333333333,1,0.3419633321555867,0.0010068465565847766,1.0,0.6062029496799477,0.44765733946937564
