source_center,destination_center,trip_count,median_actual_time,median_osrm_time,weight,delay_ratio_iqr,pct_sla_breach,avg_osrm_distance,pct_ftl,delay_Carting_afternoon,delay_Carting_eve_peak,delay_Carting_morn_peak,delay_Carting_night,delay_FTL_afternoon,delay_FTL_eve_peak,delay_FTL_morn_peak,delay_FTL_night,is_chronic_delay
IND636705AAB,IND562132AAA,33,172.0,105.0,1.638095238095238,0.30608228980322005,1.0,95.04290909090909,1.0,,,,,,,1.638095238095238,,1
IND636705AAB,IND635001AAA,12,58.5,46.5,1.3232739904472428,0.3682608695652174,0.6666666666666666,44.27625833333334,1.0,,,,,,,1.3061224489795917,1.74,1
IND637211AAA,IND636402AAA,96,62.0,49.0,1.2958333333333334,0.24129578937655705,0.6979166666666666,42.91716979166667,0.0,,,1.28939205955335,1.3225806451612903,,,,,1
IND637301AAA,IND638001AAA,10,32.0,18.0,1.8529411764705883,0.19590643274853803,1.0,21.729499999999998,1.0,,,,,,,1.8362573099415203,1.8529411764705883,1
IND637408AAA,IND637001AAA,20,42.0,26.0,1.6909814323607426,0.4224137931034484,1.0,30.382215000000002,1.0,,,,,,,1.524137931034483,1.7374581939799332,1
IND638401AAA,IND638452AAA,33,24.0,24.0,1.0833333333333333,0.274074074074074,0.24242424242424243,21.54697878787879,0.0,,1.0833333333333333,,,,,,,0
IND638501AAB,IND641062AAD,87,62.0,47.0,1.305084745762712,0.25272068802014336,0.7701149425287356,51.22235517241379,0.0,,1.305084745762712,,,,,,,1
IND638657AAA,IND638701AAA,63,34.0,26.0,1.3888888888888888,0.17763532763532752,0.8253968253968254,23.702150793650794,0.0,,1.3888888888888888,,,,,,,1
IND638701AAA,IND641607AAA,51,35.0,20.0,1.8181818181818181,0.4928571428571431,1.0,20.038345098039215,0.0,,1.8181818181818181,,,,,,,1
IND639001AAA,IND624001AAA,27,57.0,37.0,1.6181818181818182,0.2013742690058482,1.0,51.711674074074075,1.0,,,,,,,1.6,1.629090909090909,1
IND641001AAA,IND641062AAD,10,33.0,24.5,1.3875,2.3286325439266617,0.9,24.705859999999998,0.0,,1.3875,,,,,,,1
IND641006AAD,IND641062AAD,15,34.0,23.0,1.5,0.4711180124223604,1.0,21.296393333333334,0.0,1.5,,1.592857142857143,,,,,,1
IND641011AAA,IND641062AAD,31,48.0,24.0,1.9565217391304348,2.442927170868347,0.8709677419354839,26.292483870967743,0.0,,1.9565217391304348,,,,,,,1
IND641062AAD,IND638401AAA,64,42.0,23.0,1.7333333333333334,0.31378968253968265,1.0,33.5984125,0.0,,1.7333333333333334,,,,,,,1
IND641062AAD,IND641001AAA,12,84.0,25.5,3.911111111111111,1.541816009557945,1.0,26.072824999999998,0.0,,,3.911111111111111,,,,,,1
